periodo,banco_original,banco_normalizado,indicador,valor,unidad,archivo_origen,hoja_origen,fila_origen_excel,columna_origen_excel
2015-02,BP GENERAL RUMIÑAHUI,BP GENERAL RUMINAHUI,indice_capitalizacion_neto,6.976345045982543,porcentaje_decimal,BOL BANCOS PRIVADOS 28022015 act.xlsx,INDICADORES,75,12
2015-02,BP INTERNACIONAL,BP INTERNACIONAL,indice_capitalizacion_neto,7.77753777464225,porcentaje_decimal,BOL BANCOS PRIVADOS 28022015 act.xlsx,INDICADORES,75,13
2015-02,BP MACHALA,BP MACHALA,indice_capitalizacion_neto,6.483733105700876,porcentaje_decimal,BOL BANCOS PRIVADOS 28022015 act.xlsx,INDICADORES,75,14
2015-02,BP CITIBANK,BP CITIBANK,indice_capitalizacion_neto,9.45834384208935,porcentaje_decimal,BOL BANCOS PRIVADOS 28022015 act.xlsx,INDICADORES,75,15
2015-02,BP LOJA,BP LOJA,indice_capitalizacion_neto,8.230679749548575,porcentaje_decimal,BOL BANCOS PRIVADOS 28022015 act.xlsx,INDICADORES,75,16
2015-02,BP PROCREDIT,BP PROCREDIT,indice_capitalizacion_neto,13.080809628569853,porcentaje_decimal,BOL BANCOS PRIVADOS 28022015 act.xlsx,INDICADORES,75,17
2015-02,BP AMAZONAS,BP AMAZONAS,indice_capitalizacion_neto,11.796558643533848,porcentaje_decimal,BOL BANCOS PRIVADOS 28022015 act.xlsx,INDICADORES,75,19
2015-02,BP COFIEC,BP COFIEC,indice_capitalizacion_neto,11.040636565478364,porcentaje_decimal,BOL BANCOS PRIVADOS 28022015 act.xlsx,INDICADORES,75,20
2015-02,BP COMERCIAL DE MANABI,BP COMERCIAL DE MANABI,indice_capitalizacion_neto,13.229870590257468,porcentaje_decimal,BOL BANCOS PRIVADOS 28022015 act.xlsx,INDICADORES,75,21
2015-02,BP LITORAL,BP LITORAL,indice_capitalizacion_neto,14.0624936234054,porcentaje_decimal,BOL BANCOS PRIVADOS 28022015 act.xlsx,INDICADORES,75,22
2015-02,BP COOPNACIONAL,BP COOPNACIONAL,indice_capitalizacion_neto,12.67220942689066,porcentaje_decimal,BOL BANCOS PRIVADOS 28022015 act.xlsx,INDICADORES,75,23
2015-02,BP CAPITAL,BP CAPITAL,indice_capitalizacion_neto,9.446749786041437,porcentaje_decimal,BOL BANCOS PRIVADOS 28022015 act.xlsx,INDICADORES,75,24
2015-02,BP FINCA,BP FINCA,indice_capitalizacion_neto,16.28729145428874,porcentaje_decimal,BOL BANCOS PRIVADOS 28022015 act.xlsx,INDICADORES,75,25
2015-02,BP DELBANK,BP DELBANK,indice_capitalizacion_neto,32.83822717826833,porcentaje_decimal,BOL BANCOS PRIVADOS 28022015 act.xlsx,INDICADORES,75,26
